,SBI-codering
7311,9
8891,6
4941,5
85592,5
56102,5
5630,5
6201,4
78201,4
88999,4
4120,3
7112,3
90041,2
5621,2
96021,2
46433,2
86919,2
4332,2
70221,2
72192,2
86231,2
43222,2
78202,2
86912,2
46499,2
53202,2
1089,2
47912,2
47789,2
74102,1
69102,1
93129,1
46762,1
4618,1
8553,1
4391,1
47641,1
9002,1
9524,1
85519,1
96031,1
4334,1
2110,1
46496,1
85312,1
2830,1
93299,1
46471,1
86929,1
46494,1
45205,1
46442,1
47713,1
6831,1
69204,1
52291,1
77111,1
4619,1
45111,1
2529,1
8621,1
47793,1
47918,1
71202,1
47715,1
56101,1
1422,1
86222,1
47721,1
46741,1
45112,1
1101,1
4651,1
