Perioden,47 Detailhandel (niet in auto's),"52 Opslag, dienstverlening voor vervoer",62 IT-dienstverlening,73 Reclamewezen en marktonderzoek,78 Uitzendbureaus en arbeidsbemiddeling,2,3,4,5,6,WA Workforce,,
2014-01,-2.9,3.1,-9.9,-8.5,-23.2,104085,6080,46570,34405,11815,-6.457549703,,
2014-02,,-5.2,7.8,-15.6,-7.7,,6080,46570,34405,11815,-2.99447254,,
2014-03,,-22,-7.7,-17.4,1.3,,6080,46570,34405,11815,-10.8793011,,
2014-04,1.2,-3.9,-10.3,-12.9,13.2,105185,6260,48695,34885,11885,-3.348726499,,
2014-05,,-12.6,7.3,-3.5,20,,6260,48695,34885,11885,3.85549275,,
2014-06,,-4.2,0.7,-13.7,25.8,,6260,48695,34885,11885,-1.607245023,,
2014-07,4,0.9,-9.9,-17.7,24,106635,6335,49680,35205,11940,-1.888314783,,
2014-08,,2.1,-3,-7,13.3,,6335,49680,35205,11940,-2.165272392,,
2014-09,,0.8,-2.9,2.4,9.9,,6335,49680,35205,11940,0.617429236,,
2014-10,4.4,-13.2,-9.1,16.2,11.3,108735,6425,50205,35140,11980,3.01856837,,
2014-11,,2.7,-8.7,12.6,4,,6425,50205,35140,11980,0.686727711,,
2014-12,,-10,-7.4,5,10.7,,6425,50205,35140,11980,-1.271142169,,
2015-01,5.3,-5.5,0.8,-16.6,59.1,109910,6550,51075,35065,11965,3.320254934,,
2015-02,,-10.3,-6.8,-8.4,22.8,,6550,51075,35065,11965,-4.171028618,,
2015-03,,-15.6,-4.1,2.8,41.9,,6550,51075,35065,11965,2.751211122,,
2015-04,5,-10.6,-0.7,0,21.2,110205,6640,51525,34815,12030,3.250746927,,
2015-05,,2,4.2,0.1,30.5,,6640,51525,34815,12030,5.714517665,,
2015-06,,2.1,-3,7.9,31.6,,6640,51525,34815,12030,4.900061899,,
2015-07,7.3,-3,-5.1,-12.9,36.9,111545,6745,52505,34850,12145,2.409906332,,
2015-08,,-7.6,-4.1,-5.9,19,,6745,52505,34850,12145,-2.272036331,,
2015-09,,-6.3,-6.1,-6.1,35.1,,6745,52505,34850,12145,-1.403073086,,
2015-10,2,-0.7,-5.8,0.2,41.4,112950,6840,53365,34810,12205,1.925076078,,
2015-11,,4.2,-1,1.5,17.1,,6840,53365,34810,12205,2.203725984,,
2015-12,,9,12.8,-5.7,10.8,,6840,53365,34810,12205,6.32371759,,
2016-01,11.4,3.2,9,-2.9,17.6,113350,6935,53820,34675,12210,8.656955066,,
2016-02,,2.7,5.9,-1.5,-2,,6935,53820,34675,12210,2.413879599,,
2016-03,,-6.5,-0.6,4,11.2,,6935,53820,34675,12210,1.840231327,,
2016-04,5.1,1.9,5.2,0,45,113420,7695,54600,34735,12365,6.43317326,,
2016-05,,5.9,12.1,-4.2,48.8,,7695,54600,34735,12365,10.63655103,,
2016-06,,-0.7,13.6,-0.4,31.3,,7695,54600,34735,12365,10.14949495,,
2016-07,7,8,4.1,-2.5,30,114355,7780,55725,34775,12510,6.12742899,,
2016-08,,1.1,5.5,0.1,14.3,,7780,55725,34775,12510,4.489719289,,
2016-09,,5.5,2.1,8.7,54.8,,7780,55725,34775,12510,10.36107049,,
2016-10,10,4.5,6.9,8.6,9.8,114960,7825,55660,34260,12555,8.818882625,,
2016-11,,4.1,6.1,9.7,12.6,,7825,55660,34260,12555,7.816169538,,
2016-12,,5.9,10.4,11.5,20.6,,7825,55660,34260,12555,11.58344968,,
2017-01,11.1,15.8,12,7.1,8.9,114725,7880,55690,33960,12595,10.7602535,,
2017-02,,16.9,14.6,3.3,12.4,,7880,55690,33960,12595,11.0283042,,
2017-03,,6.6,17.6,3.9,3.8,,7880,55690,33960,12595,11.0098252,,
2017-04,7.7,8.4,13.5,8.3,11,115195,7940,56410,33765,12800,9.447976649,,
2017-05,,11.8,24.2,1.3,20.5,,7940,56410,33765,12800,15.91406482,,
2017-06,,12.3,25.9,6.9,18.3,,7940,56410,33765,12800,18.26533381,,
2017-07,14,17.6,17.1,5.4,35.4,116275,8015,57225,33875,12980,14.84379954,,
2017-08,,13,11,2.4,42.5,,8015,57225,33875,12980,12.19162318,,
2017-09,,15.8,6.3,7.8,33.8,,8015,57225,33875,12980,10.61691869,,
2017-10,8.9,12.9,14.4,0.6,21.6,117520,8105,57900,33910,13095,9.922528521,,
2017-11,,23.5,13.5,4.3,20.7,,8105,57900,33910,13095,12.29092116,,
2017-12,,20.8,21.2,10.7,20.9,,8105,57900,33910,13095,17.98589948,,
2018-01,20.8,19.9,29.4,13.1,29.5,117840,8235,58565,34030,13315,22.30896394,,
2018-02,,19.9,18.9,-1.3,16.4,,8235,58565,34030,13315,12.65830304,,
2018-03,,13.9,28.6,-1.1,15.7,,8235,58565,34030,13315,17.18023567,,
2018-04,7.7,21.4,20.7,13.1,26,117045,8235,58920,33790,13440,13.34834939,,
2018-05,,21.2,24.4,14.8,27.5,,8235,58920,33790,13440,21.69796739,,
2018-06,,21.5,26.4,9.7,31.9,,8235,58920,33790,13440,21.76019146,,
2018-07,15.5,30.8,22.7,12.1,44.6,117585,8430,60015,33880,13715,19.11691386,,
2018-08,,21.5,32.6,13.2,24.8,,8430,60015,33880,13715,25.20753189,,
2018-09,,18.9,27.5,13.8,24,,8430,60015,33880,13715,22.46159514,,
2018-10,9.5,36,30,16.7,29.2,118650,8630,60815,33955,13870,17.94827696,,
2018-11,,14.7,27.5,10.2,20.8,,8630,60815,33955,13870,20.75646372,,
2018-12,,24,23.8,8.4,15.7,,8630,60815,33955,13870,18.39769762,,
2019-01,10.4,21.9,25.4,6.2,30.3,119605,8850,61600,34095,14150,15.28527486,,
2019-02,,14.3,26.3,4.6,13.6,,8850,61600,34095,14150,17.65796369,,
2019-03,,16.5,24,13.3,10,,8850,61600,34095,14150,18.69824761,,
2019-04,7.7,20.5,24.7,1.6,26.5,119760,8980,62240,34010,14360,12.86202632,,
2019-05,,20.3,19.1,-3.7,17.7,,8980,62240,34010,14360,12.53794632,,
2019-06,,19.5,20.2,5.9,21.3,,8980,62240,34010,14360,16.21276863,,
2019-07,10.8,15.2,22.4,-6.3,31.2,120955,9140,62965,34005,14515,12.80857066,,
2019-08,,12,10.9,-8,21.4,,9140,62965,34005,14515,6.918793782,,
2019-09,,6.8,10.7,-0.8,16,,9140,62965,34005,14515,7.800319171,,
2019-10,5.1,19.3,15.5,-5.5,18.8,124650,9380,64240,34525,14845,7.679161283,,
2019-11,,20.2,18.1,4.7,14.5,,9380,64240,34525,14845,14.06407025,,
2019-12,,22.6,10.3,-4.1,16.9,,9380,64240,34525,14845,7.992422148,,
